compound,cjm_dmso_4hr_01,cjm_dmso_4hr_02,cjm_dmso_4hr_03,cjm_dmso_8hr_01,cjm_dmso_8hr_02,cjm_dmso_8hr_03,cjm_dmso_24hr_01,cjm_dmso_24hr_02,cjm_dmso_24hr_03,cjm_brd_4hr_01,cjm_brd_4hr_02,cjm_brd_4hr_03,cjm_brd_8hr_01,cjm_brd_8hr_02,cjm_brd_8hr_03,cjm_brd_24hr_01,cjm_brd_24hr_02,cjm_brd_24hr_03,639_dmso_4hr_01,639_dmso_4hr_02,639_dmso_4hr_03,639_dmso_8hr_01,639_dmso_8hr_02,639_dmso_8hr_03,639_dmso_24hr_01,639_dmso_24hr_02,639_dmso_24hr_03,639_brd_4hr_01,639_brd_4hr_02,639_brd_4hr_03,639_brd_8hr_01,639_brd_8hr_02,639_brd_8hr_03,639_brd_24hr_01,639_brd_24hr_02,639_brd_24hr_03,blank_01,blank_02,blank_03
"PC(16:0,18:2)[M-H]-",2.52E+07,2.75E+07,2.77E+07,2.46E+07,2.72E+07,2.66E+07,1.55E+07,2.38E+07,2.15E+07,2.72E+07,2.64E+07,2.79E+07,2.67E+07,2.76E+07,2.61E+07,2.44E+07,2.23E+07,2.36E+07,2.66E+07,2.77E+07,3.32E+07,2.92E+07,3.08E+07,2.58E+07,1.98E+07,2.44E+07,2.42E+07,2.87E+07,3.07E+07,3.07E+07,3.23E+07,3.31E+07,3.14E+07,3.68E+07,4.16E+07,3.92E+07,17430.63,23830.95,24947.36
"PC(18:1,24:2)[M-H]-",159755.9,156810.4,197725,136237.6,173664.8,168776.5,51479.59,127135,115542,181294.3,165280.7,169433.1,186636.4,202992.5,143034.1,139993.8,120320.8,130173.3,174755.4,203239,201574.9,193493.2,218321.8,153235.8,138772.5,195796.2,200310.4,304563.2,356817,380030.8,531432.2,487942.4,445201.2,577285.7,619898.5,611128.9,1652.784,1290.553,4070.48
"PC(14:0,22:6)[M+FA-H]-",731259.9,838095,927585,691792.2,836831,726524,189646.2,351974.7,301655.2,623618.2,717531.4,837662.3,576669.1,767785.3,592497.9,368249.2,302314.7,307285.6,541116.4,554064.1,592655.7,629457.8,650239.8,482236.9,278419.8,349971,329522.4,499955.9,544360.2,554275,725300.5,652726.9,549228.8,938759.1,943956.2,987191.3,2126.978,0,0
"PC(14:0,16:0)[2M+FA-H]-",470177,426069,459588.3,348458.1,436764,380500.4,284472.9,630523.2,548470.8,464418.1,428436,409392.2,437946,427256.4,388782.8,666779.9,583053.8,645318.1,492361.3,500770.8,447974.9,571067.6,577869.5,405568.2,502051.6,815878,765890.2,576933.9,619966.6,556958.4,721299,715312,638187.3,743374.2,875752.6,816895.8,0,0,0
"PC(18:1,22:6)[M+Cl]-",512580.1,505722.2,534081.6,448224.8,425567.8,389848.2,122502.8,7139.015,194652,482338.9,511698,520563.8,472073.2,479802.5,489739.1,0,225773.5,2650.762,391346.7,363534,374043.3,412171.3,400581.4,14977.07,191292.4,209315.7,233880.2,433025.4,447641.7,449948.8,492379.5,453731.5,424573,442002,458466.3,439595.9,0,0,0
"PC(16:1,22:6)[M-H]-",1782646,1884652,2078870,1119692,1335012,1153454,332754.8,544329.1,477245.8,1408916,1684544,1771892,1220773,1309761,1220168,557978.6,477888.4,489026.1,992440.8,1086465,1185367,1142144,1203062,926022,409204.2,523347.6,508471.4,977674.5,1071140,1013685,1244645,1165792,1035952,1722864,1732326,1838047,0,0,0
"PC(22:5,22:6)[M+FA-H]-",2395994,2654488,2914674,1850430,2145535,1876507,184149,311132.2,264308.6,1865268,2523359,2629948,1993411,2216564,1881038,304201.8,274927.4,262983.3,1592847,1757735,1909204,1543274,1669542,1264154,207277.2,271609.7,226494.7,944533.8,1045746,1012722,983652.9,849823.7,762055.5,720214.8,709770.6,780447.8,0,1821.542,3918.684
"PC(12:0,12:0)[M+FA-H]-",1.31E+07,1.48E+07,1.39E+07,1.06E+07,1.28E+07,1.04E+07,6036764,8397883,6814172,1.51E+07,1.52E+07,1.23E+07,1.20E+07,1.16E+07,1.02E+07,7834120,7367890,6534306,1.53E+07,1.36E+07,1.20E+07,1.27E+07,1.37E+07,1.01E+07,6537150,8586855,8561294,1.37E+07,1.47E+07,1.41E+07,1.48E+07,1.44E+07,1.14E+07,2.09E+07,2.05E+07,1.92E+07,1899.169,0,0
"PC(16:0,18:2)[M+Cl]-",1069274,1179367,1165289,1087458,1172108,1076470,508952.8,964834.8,874091,821034.5,1226272,1202365,1187624,1218047,971371.6,1059170,943273.8,993956.6,2616920,2707243,2961415,2876939,3255527,2677253,2218562,2645657,2573955,3178848,3328105,3258060,3566287,3555324,2890100,3349399,3496750,3561446,6169.404,0,0
"PC(20:0,22:6)[M+FA-H]-",80970.68,83842.04,87514.15,84764.48,88588.31,84226.04,43927.59,86667.66,82177.32,69450.99,72807.48,86217.16,94304.75,89859.76,84237,91720.97,83705.91,84108.6,50088,47445.93,63688.57,52647.65,66865.6,51505.66,50929.84,73737.46,78995.56,61653.2,71665.47,63243.48,86946.19,77044.69,75244.76,111182.9,159342.4,157458.3,1539.376,4722.365,3000.836
